county,state,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed
Shannon County,Missouri,Report 15236: Possible vocalizations heard by campers on the Current River,37.2306,-91.30804,2006-06-18,15236.0,Class B,9yx5f1xebq,86.58,76.475,66.37,67.65,0.78,0.53,0.75,0.0084,0.57,rain,1012.83,Mostly cloudy until evening.,8.0,9.36,216.0,6.37
Scott County,Missouri,Report 22448: Early morning sighting near Scott City Diversion Canal,37.236,-89.55949,1969-07-16,22448.0,Class A,dn87f48g2t,94.01,83.735,73.46,74.42,0.76,0.27,0.06,0.0,0.0,,1017.98,Partly cloudy until evening and humid throughout the day.,9.0,6.42,157.0,4.87
Ripley County,Missouri,Report 28080: Woman remembers evening sighting while driving on Hwy. T near Oxly,38.21285,-90.66216,1983-10-25,28080.0,Class A,9yz92umvfx,59.49,48.905,38.32,42.11,0.7,0.55,0.62,0.0,0.0,,1025.51,Mostly cloudy until afternoon.,3.0,7.8,333.0,7.67
Reynolds County,Missouri,Report 56388: Night driver snaps photo of bipedal animal on remote gravel road near Annapolis,37.30427,-90.83465,2014-07-16,56388.0,Class A,9yxkjp01p5,75.0,64.865,54.73,53.14,0.68,0.11,0.66,0.0003,0.05,rain,1017.2,Partly cloudy in the afternoon.,9.0,9.79,350.0,2.41
Ray County,Missouri,,,,,38519.0,Class A,,,,,,,,,,,,,,,,,
Pulaski County,Missouri,Report 4421: Soldier in basic training has daylight sighting at Fort Leonard Wood.,37.714,-92.173,1982-05-15,4421.0,Class A,9ywqw99evr,82.51,73.64500000000002,64.78,56.16,0.66,0.38,0.74,0.0008,0.49,rain,1014.22,Partly cloudy throughout the day.,9.0,8.36,192.0,8.19
Polk County,Missouri,Report 4116: Woman hears nighttime screams near Polk.,37.7664,-93.5395,2000-04-21,4116.0,Class B,9ytqz7nt5x,67.55,53.485,39.42,34.92,0.54,0.25,0.6,0.0001,0.21,rain,1017.81,Partly cloudy in the morning.,10.0,9.59,319.0,10.91
Polk County,Missouri,Report 3667: Eerie vocals in the forests of Karlin.,37.54661,-93.41,2001-07-20,3667.0,Class B,9yttd7huv5,92.19,83.16,74.13,72.33,0.73,0.09,0.99,0.0,0.0,,1014.73,Humid throughout the day.,10.0,7.92,179.0,3.99
Pulaski County,Missouri,"Report 1138: Family witness a 7-8 foot tall creature, covered with hair, standing in the middle of the road",37.82861,-92.20055,1989-02-15,1138.0,Class A,9ywrjymxek,36.9,31.41,25.92,32.25,0.91,1.0,0.34,0.0108,1.0,rain,1029.84,Light rain in the morning.,2.0,3.16,7.0,5.74
Pulaski County,Missouri,Report 36407: Mother & daughter hear possible vocalizations outside a home near Richland,37.50983,-92.22327,2012-09-04,36407.0,Class B,9ywmmkmnd5,92.88,84.22999999999998,75.58,69.34,0.72,0.16,0.64,0.0011,0.22,rain,1011.05,Partly cloudy in the morning.,8.0,9.49,141.0,3.36
Pulaski County,Missouri,Report 46676: Soldier reports possible vocalizations during a morning group run at Fort Leonard Wood,37.4504,-92.5415,2014-10-01,46676.0,Class B,9ywjn1tk6u,85.84,77.245,68.65,60.69,0.68,0.11,0.25,0.0082,0.09,rain,1009.79,Rain in the evening.,5.0,9.49,162.0,7.18
Ray County,Missouri,Report 38339: Possible nighttime activity at a rural home near Rayville,39.20894000000001,-94.2908,2012-11-15,38339.0,Class B,9yuzn3g89h,55.08,43.63,32.18,31.38,0.61,0.21,0.07,0.0,0.0,,1026.58,Partly cloudy starting in the afternoon.,2.0,9.89,197.0,2.73
Reynolds County,Missouri,,,,,46826.0,Class A,,,,,,,,,,,,,,,,,
Reynolds County,Missouri,Report 49971: Possible whoops heard while stargazing near Van Buren,37.05571,-90.89388,2015-10-11,49971.0,Class B,9yx6g9v15j,79.04,68.875,58.71,49.25,0.68,0.01,0.96,0.0,0.0,,1013.62,Clear throughout the day.,5.0,8.56,187.0,6.76
Ripley County,Missouri,Report 12528: Campers have a night-time encounter in Mark Twain National Forest,36.66708,-90.9525,1998-04-25,12528.0,Class A,9yx2d743jp,77.07,69.05,61.03,51.07,0.58,0.13,0.97,,,rain,1010.87,"Partly cloudy in the morning and breezy starting in the afternoon, continuing until evening.",10.0,9.39,183.0,12.46
Scott County,Missouri,Report 18278: Late night sighting by young couple in a parked car on a rural lane outside Kelso.,37.286,-89.6075,1994-11-11,18278.0,Class A,dn8k0gty9y,55.27,49.77,44.27,38.53,0.7,0.62,0.3,0.0,0.0,,1023.7,Mostly cloudy throughout the day.,2.0,9.68,70.0,3.64
St. Clair County,Missouri,Report 1141: Two six foot tall creatures seen by witness.,38.0944,-93.5577,1982-07-15,1141.0,Class A,9yv2xnc7gw,88.73,81.525,74.32,69.98,0.72,0.62,0.81,0.0002,0.25,rain,1015.0,Humid and mostly cloudy throughout the day.,7.0,7.69,173.0,9.11
St. Louis County,Missouri,Report 10927: Bow hunter observes animal lying down in the Creve Coeur bottoms.,38.69428,-90.52987,2005-10-15,10927.0,Class A,9yzs5un4t0,73.03,56.825,40.62,43.78,0.6,0.01,0.44,0.0002,0.53,rain,1019.27,Clear throughout the day.,4.0,9.65,319.0,4.11
Stone County,Missouri,Report 717: Unusual shadow seen through window near Branson. Large footprints found the next morning,36.63621,-93.31413,1981-08-01,717.0,Class B,9yt8kt6trh,86.68,78.30000000000003,69.92,69.64,0.8,0.46,0.06,0.0,0.0,,1019.96,Humid and partly cloudy throughout the day.,9.0,6.25,143.0,6.33
Stone County,Missouri,,,,,23581.0,Class B,,,,,,,,,,,,,,,,,
Stone County,Missouri,Report 6656: Teenagers observe animal hiding behind trees in yard near Cape Fair.,36.73,-93.51,2004-11-21,6656.0,Class B,9yt8bnkpg0,54.24,52.08,49.92,47.1,0.89,0.99,0.34,0.0071,0.74,rain,1023.24,Overcast throughout the day.,1.0,7.33,70.0,5.73
Taney County,Missouri,,,,,22600.0,Class B,,,,,,,,,,,,,,,,,
Taney County,Missouri,Report 14150: Possible mid-day sighting by motorist on Hwy 465 outside Branson,36.71418,-93.25712,2006-03-17,14150.0,Class B,9yt8vgs5xe,50.76,45.58,40.4,31.37,0.65,0.46,0.58,0.0001,0.1,rain,1026.16,Mostly cloudy until afternoon.,5.0,8.41,28.0,6.1
Taney County,Missouri,Report 25026: Possible late night sighting across the road from a house near Kirbyville,36.3881,-93.1073,2009-03-09,25026.0,Class B,9ymz123249,73.99,63.55499999999999,53.12,41.08,0.54,0.24,0.45,0.0043,0.69,rain,1015.75,Mostly cloudy starting in the evening.,5.0,9.85,149.0,7.74
Taney County,Missouri,,,,,30442.0,Class B,,,,,,,,,,,,,,,,,
Taney County,Missouri,Report 40177: Early morning road crossing north of Branson,36.39835,-93.14626,2013-10-15,40177.0,Class A,9ymz06hgyb,63.79,54.425,45.06,57.64,0.89,0.11,0.39,0.0058,0.52,rain,1014.64,Light rain in the morning.,4.0,8.05,274.0,1.45
Texas County,Missouri,Report 5064: Driver has early morning sighting near bridge over Hog Creek.,37.27,-91.985,1990-10-19,5064.0,Class B,9yws4bf96p,63.9,54.455,45.01,31.99,0.56,0.14,0.04,0.0,0.0,,1019.66,Partly cloudy until afternoon.,4.0,9.27,153.0,7.93
Vernon County,Missouri,Report 33872: Grandmother has a possible night time sighting from her home in the city of Nevada,37.8322,-95.32129,2012-02-22,33872.0,Class B,9yspnzjhsc,66.76,55.48,44.2,32.06,0.54,0.07,0.03,0.0,0.0,,1002.26,Partly cloudy overnight.,4.0,10.0,235.0,6.61
Vernon County,Missouri,Report 36572: Trucker has nighttime sighting outside the city of Nevada,37.84203,-94.6028,2012-09-18,36572.0,Class A,9ysxr2bmfc,69.6,60.92,52.24,45.98,0.65,0.07,0.09,0.0003,0.06,rain,1017.79,Clear throughout the day.,7.0,9.95,346.0,4.51
Vernon County,Missouri,Report 40548: Motorist has a possible sighting on a rainy night near Schell City,37.91544,-94.32079,2012-09-21,40548.0,Class B,9ysztwm9qq,81.75,66.51,51.27,48.18,0.52,0.08,0.21,0.0057,0.41,rain,1011.96,Clear throughout the day.,6.0,9.82,277.0,3.51
Vernon County,Missouri,Report 40015: Driver has possible early morning sighting near Fort Scott,37.84239,-94.60359,2012-10-24,40015.0,Class B,9ysxr0zzbs,81.03,73.22,65.41,63.06,0.72,0.14,0.34,0.0,0.0,,1009.2,Clear throughout the day.,3.0,9.93,184.0,14.48
Platte County,Missouri,,,,,14237.0,Class B,,,,,,,,,,,,,,,,,
Phelps County,Missouri,Report 21660: Woman describes childhood incidents -- possible tracks and vocalization near outside rural home near St.James/Rolla,38.01223,-91.64719,2007-01-09,21660.0,Class B,9yyb4xbt39,42.63,32.815,23.0,22.72,0.55,0.43,0.7,0.0001,0.13,rain,1025.79,Breezy in the morning and mostly cloudy until afternoon.,1.0,9.68,297.0,12.4
Pemiscot County,Missouri,Report 15610: Children see creature emerging from abandoned barn near Caruthersville.,36.00565,-89.67815,1960-08-15,15610.0,Class A,dn2hz6dk5e,91.13,81.57,72.01,69.26,0.71,0.22,0.79,0.0,0.0,,1019.19,Partly cloudy until evening.,8.0,9.37,173.0,1.59
Ozark County,Missouri,Report 5085: Family has nighttime sighting near Gainesville.,36.615,-92.425,2004-12-05,5085.0,Class A,9yw22cd1v6,59.27,53.76000000000001,48.25,39.71,0.87,0.6,0.78,0.0134,1.0,rain,1012.9,Rain in the afternoon.,1.0,6.36,144.0,5.37
Newton County,Missouri,Report 27785: Nighttime roadside sighting by a motorist outside Joplin,37.03575,-94.52888,2010-06-22,27785.0,Class A,9ysf8ynhvk,94.01,84.28999999999998,74.57,72.47,0.67,0.08,0.38,0.0,0.0,,1015.31,Humid throughout the day.,11.0,9.69,180.0,8.62
Morgan County,Missouri,Report 5552: Youth bicyclist has daytime sighting near Gravois Mills.,38.3085,-92.8254,2004-11-20,5552.0,Class A,9yvcztye5m,50.59,45.88,41.17,44.64,0.86,0.93,0.3,0.0012,0.62,rain,1020.28,Mostly cloudy throughout the day.,1.0,9.13,335.0,4.35
Montgomery County,Missouri,Report 1132: Witness noticed creature was human shaped.,39.1405,-91.419,1976-09-01,1132.0,Class B,9yyyxtq9yy,83.22,71.75,60.28,56.32,0.56,0.84,0.27,0.0,0.0,,1016.31,Mostly cloudy throughout the day.,5.0,8.93,74.0,3.17
Miller County,Missouri,Report 8890: Truck driver has daylight sighting on country road near Marys Home.,38.305,-92.411,2004-12-05,8890.0,Class A,9yy3cjhqg9,52.55,49.59,46.63,37.42,0.87,0.54,0.78,0.0102,1.0,rain,1012.29,"Light rain starting in the afternoon, continuing until evening.",1.0,7.34,149.0,6.6
Mercer County,Missouri,Report 48530: Brothers observe tall animal during early morning visit to hunting area near Lineville,40.57773,-93.64312,2015-04-24,48530.0,Class B,9zjqv4gnmj,59.57,54.065,48.56,42.2,0.64,0.42,0.21,0.0031,0.35,rain,1009.33,Partly cloudy in the morning.,6.0,9.39,140.0,8.94
McDonald County,Missouri,Report 26306: Possible nighttime encounter at a rural home near the village of Jane,36.50787,-94.2319,2009-09-25,26306.0,Class B,9ykzxwn3v8,75.22,65.57,55.92,52.98,0.75,0.1,0.23,0.0009,0.69,rain,1020.06,Partly cloudy in the morning.,6.0,8.45,201.0,1.96
Marion County,Missouri,Report 1118: Witness saw man-like creature in a corn field.,39.8397,-91.6533,1997-06-15,1118.0,Class A,9znfdks556,82.15,74.045,65.94,63.51,0.71,0.4,0.33,0.001,0.24,rain,1009.93,"Partly cloudy throughout the day and breezy starting in the afternoon, continuing until evening.",9.0,9.29,182.0,10.07
Madison County,Missouri,Report 2451: Three-toed print found while cutting firewood,37.5562,-90.2488,1986-05-31,2451.0,Class B,9yxvdkfudx,85.12,76.76,68.4,66.6,0.74,0.42,0.78,0.0022,0.54,rain,1013.05,Partly cloudy throughout the day.,8.0,6.96,251.0,3.04
Lawrence County,Missouri,Report 2180: Two sisters witness bipedal animal walk through yard,37.11433,-93.71506,1977-09-01,2180.0,Class A,9yt75kqy8u,88.62,78.965,69.31,69.21,0.74,0.61,0.63,0.0,0.0,,1020.01,Mostly cloudy throughout the day.,6.0,9.25,177.0,4.64
Lafayette County,Missouri,,,,,36247.0,Class B,,,,,,,,,,,,,,,,,
Jefferson County,Missouri,Report 11823: ATV'ers have daylight sighting near Hematite.,38.21719,-90.50072,1989-01-14,11823.0,Class B,9yz9kt5rk2,34.75,32.855000000000004,30.96,27.86,0.84,0.97,0.25,0.0043,0.6,snow,1020.73,Snow (< 1 in.) in the morning.,1.0,6.73,201.0,3.77
Jefferson County,Missouri,Report 16294: Mushroom hunter has early morning sighting near Festus.,38.22635,-90.39488,1999-04-15,16294.0,Class A,9yz9rnbkws,52.8,46.885,40.97,45.18,0.87,0.97,0.98,0.0222,1.0,rain,999.48,Rain in the morning and breezy starting in the afternoon.,5.0,7.2,285.0,7.51
Jefferson County,Missouri,Report 26919: Early A.M. sighting returning home from family event,38.4063,-90.7357,2009-11-24,26919.0,Class B,9yz6rr8kbv,53.75,49.03,44.31,45.1,0.82,0.89,0.25,0.0096,0.88,rain,1013.06,Rain until afternoon.,1.0,8.0,200.0,7.41
Jefferson County,Missouri,,,,,46749.0,Class B,,,,,,,,,,,,,,,,,
Jefferson County,Missouri,Report 48339: Dark figure crosses the road at night in front of motorist near High Ridge,38.45927,-90.55145,2015-02-15,48339.0,Class B,9yzdg3q3qr,18.79,17.475,16.16,-0.46,0.51,0.32,0.88,0.0007,0.42,snow,1032.37,Snow (< 1 in.) overnight.,3.0,9.1,73.0,8.27
Lafayette County,Missouri,Report 41012: Two girls have a daytime close encounter on their family farm near Oak Grove,39.30745,-94.59565,2013-04-27,41012.0,Class A,9yuxx7tw3x,55.17,48.27,41.37,46.65,0.86,0.93,0.57,0.0059,0.77,rain,1019.54,Mostly cloudy throughout the day.,5.0,9.06,68.0,3.96
Lawrence County,Missouri,Report 24767: Motorist recalls possible early morning sighting north of Mt. Vernon,37.19201,-93.73122,1991-11-15,24767.0,Class B,9yt7e4e50m,64.91,57.035,49.16,55.28,0.88,0.92,0.29,0.0022,1.0,rain,1017.44,Foggy overnight.,2.0,4.94,203.0,3.4
Lawrence County,Missouri,Report 12470: Fisherman has daytime sighting west of Mt. Vernon,37.117,-93.894,1997-07-19,12470.0,Class A,9yt5pkuqpn,90.77,80.875,70.98,69.65,0.72,0.16,0.48,0.0,0.0,,1015.19,"Partly cloudy starting in the afternoon, continuing until evening.",9.0,8.37,156.0,1.47
Lawrence County,Missouri,Report 55225: Memory told of seeing an unknown creature climbing a tree while driving between Marionville and Aurora,36.589,-93.3945,1997-11-12,55225.0,Class B,9yt84ub4q7,36.95,35.65000000000001,34.35,32.92,0.89,0.98,0.43,0.0061,1.0,rain,1017.63,Overcast throughout the day.,2.0,6.64,84.0,6.89
